sample_id,collection_date,farmer_id,batch_number,lab_technician,weather_condition,truck_number,collection_shift,pH,pH_duplicate,turbidity_ntu,turbidity_log,temperature_c,ammonia_content,color_score,vfa,drc,grade
LAT_03043,4/10/2025,F025,BATCH_8233,TECH_01,Rainy,WP_3014,Morning,6.032,6.0284,94.42,4.5478,32.36,0.183,4,0.065,56.83,B
LAT_03044,2/23/2023,F020,BATCH_8383,TECH_07,Rainy,WP_5117,Morning,6.316,6.3167,80.29,4.3856,29.12,0.201,4,0.052,57.52,B
LAT_03045,1/22/2024,F020,BATCH_7401,TECH_05,Sunny,WP_8799,Morning,5.98,5.9809,107.86,4.6808,30.32,0.176,4,0.07,59.13,B
LAT_03046,12/1/2025,F019,BATCH_2176,TECH_07,Sunny,WP_3555,Morning,6.911,6.914,53.52,3.9801,30.02,0.23,2,0.026,60.65,A
LAT_03047,2/2/2024,F012,BATCH_6690,TECH_05,Rainy,WP_8416,Morning,5.952,5.9551,96.54,4.57,30.98,0.182,4,0.063,59.98,B
LAT_03048,4/12/2026,F023,BATCH_6863,TECH_02,Rainy,WP_8600,Morning,6.514,6.5128,58.36,4.0666,28.95,,2,0.034,59.41,A
LAT_03049,7/22/2025,F020,BATCH_1163,TECH_03,Sunny,WP_8731,Morning,6.148,6.1492,93.57,4.5387,32.08,0.201,4,0.06,56.51,B
LAT_03050,11/26/2025,F018,BATCH_2108,TECH_06,Cloudy,WP_4892,Morning,6.828,6.8262,46.78,3.8455,30.31,0.222,2,0.027,60.11,A
LAT_03051,11/28/2024,F027,BATCH_5850,TECH_05,Sunny,WP_7298,Morning,6.511,6.5108,58.44,4.068,30.14,0.223,3,0.035,60.94,A
LAT_03052,10/10/2022,F027,BATCH_4822,TECH_05,Sunny,WP_9587,Morning,5.26,5.2604,143.57,4.9668,29.91,0.13,5,0.097,55.13,C
LAT_03053,3/11/2024,F002,BATCH_3736,TECH_01,Cloudy,WP_3920,Morning,6.433,6.4328,69.09,4.2354,29.67,0.208,3,0.042,60.05,A
LAT_03054,8/16/2022,F017,BATCH_7096,TECH_07,Sunny,WP_8011,Morning,6.457,6.4556,74.08,4.3051,30.79,0.199,3,0.044,60.61,A
LAT_03055,1/22/2026,F028,BATCH_7810,TECH_07,Rainy,WP_9851,Morning,6.023,6.0235,103.53,4.6399,29.49,0.174,4,0.069,60.01,B
LAT_03056,9/17/2024,F021,BATCH_8157,TECH_06,Sunny,WP_1613,Morning,5.65,5.6494,127.25,4.8462,28.66,0.155,5,0.086,57.34,C
LAT_03057,6/18/2025,F012,BATCH_2047,TECH_03,Rainy,WP_3640,Morning,6.426,6.4272,60.31,4.0995,27.91,0.215,3,0.042,60.63,A
LAT_03058,11/7/2025,F002,BATCH_6088,TECH_06,Cloudy,WP_5274,Morning,5.91,5.9058,105.87,4.6622,27.89,0.177,4,0.07,58.46,B
LAT_03059,3/24/2024,F008,BATCH_1144,TECH_06,Windy,WP_4012,Afternoon,5.584,5.5809,122.85,4.811,31.54,0.135,4,0.083,57.07,C
LAT_03060,4/29/2025,F011,BATCH_4281,TECH_05,Cloudy,WP_2797,Morning,5.482,5.4809,131.16,4.8764,28.73,0.149,4,0.086,56.69,C
LAT_03061,1/5/2024,F023,BATCH_7258,TECH_01,Windy,WP_5011,Morning,5.669,5.6691,129.27,4.8619,28.26,0.157,5,0.085,57.4,C
LAT_03062,7/24/2025,F029,BATCH_9961,TECH_04,Rainy,WP_7919,Morning,6.146,6.1472,92.43,4.5265,32.06,0.208,3,0.057,56.27,B
LAT_03063,4/26/2025,F004,BATCH_3016,TECH_06,Rainy,WP_3953,Morning,6.561,6.5662,63.01,4.1433,28.5,0.227,2,0.037,60.32,A
LAT_03064,5/13/2022,F004,BATCH_8334,TECH_07,Sunny,WP_5847,Morning,5.473,5.4704,132.66,4.8878,30.61,0.131,5,0.092,55.08,C
LAT_03065,3/29/2024,F023,BATCH_7049,TECH_01,Cloudy,WP_3652,Morning,5.996,5.9946,101.78,4.6228,32.35,0.186,4,0.068,56.76,B
LAT_03066,10/22/2025,F001,BATCH_7168,TECH_05,Windy,WP_6249,Morning,5.95,5.9514,98.76,4.5927,31.72,0.19,4,0.063,56.19,B
LAT_03067,7/13/2024,F005,BATCH_6134,TECH_03,Rainy,WP_5330,Morning,5.685,5.6872,121.44,4.7994,28.75,0.161,5,0.084,58.82,C
LAT_03068,10/5/2024,F026,BATCH_6622,TECH_02,Cloudy,WP_7378,Morning,5.696,5.6952,123.04,4.8125,30.94,0.162,5,0.085,57.52,C
LAT_03069,8/1/2022,F021,BATCH_7198,TECH_02,Rainy,WP_2312,Morning,6.64,6.6399,48.81,3.8879,31.84,0.232,2,0.031,59.24,A
LAT_03070,2/27/2022,F004,BATCH_9389,TECH_03,Windy,WP_9577,Morning,6.021,6.0173,101.41,4.6192,28.71,0.175,4,0.064,60.36,B
LAT_03071,12/12/2023,F011,BATCH_9327,TECH_06,Sunny,WP_5983,Morning,6.152,6.1529,91.56,4.517,31.81,0.183,4,0.058,60.31,B
LAT_03072,3/10/2022,F001,BATCH_2477,TECH_03,Windy,WP_9112,Morning,6.511,6.5128,66.53,4.1977,29.45,0.222,3,0.041,60.99,A
LAT_03073,11/16/2023,F011,BATCH_9119,TECH_01,Rainy,WP_6805,Morning,5.64,5.6412,123.5,4.8162,30.82,0.148,5,0.082,55.92,C
LAT_03074,11/11/2023,F019,BATCH_2143,TECH_03,Windy,WP_1255,Morning,6.345,6.3466,79.33,4.3736,30.17,0.209,3,0.053,58.99,B
LAT_03075,2/21/2023,F006,BATCH_7316,TECH_07,Cloudy,WP_9944,Morning,5.523,5.5211,131.99,4.8827,28.62,0.154,5,0.087,56.24,C
LAT_03076,3/16/2022,F027,BATCH_4660,TECH_01,Windy,WP_9353,Morning,6.752,6.7508,47.36,3.8578,27.54,0.239,3,0.029,58.94,A
LAT_03077,12/24/2025,F027,BATCH_3103,TECH_07,Windy,WP_4207,Morning,6.45,6.4513,71.22,4.2658,30.17,0.222,2,0.043,59.97,A
LAT_03078,3/22/2026,F025,BATCH_7918,TECH_04,Sunny,WP_2455,Morning,6.007,6.0078,99.54,4.6006,30.71,0.197,4,0.065,58.66,B
LAT_03079,3/4/2023,F016,BATCH_2770,TECH_02,Rainy,WP_9400,Afternoon,6.14,6.1417,90.74,4.508,31.18,0.18,3,0.059,59.24,B
LAT_03080,4/23/2026,F023,BATCH_7527,TECH_05,Cloudy,WP_4801,Morning,6.353,6.3579,83.08,4.4198,29.55,0.202,3,0.05,56.52,B
LAT_03081,4/23/2023,F017,BATCH_7496,TECH_04,Windy,WP_1514,Morning,5.805,5.8043,111.47,4.7138,28.57,0.174,4,0.076,59.87,B
LAT_03082,1/25/2026,F023,BATCH_3307,TECH_06,Rainy,WP_8348,Afternoon,5.602,5.6034,123.34,4.8149,28.05,0.141,5,0.084,56.8,C
LAT_03083,4/5/2026,F001,BATCH_9105,TECH_02,Sunny,WP_4229,Morning,6.441,6.4402,69.62,4.2431,28.57,0.2,3,0.046,58.87,A
LAT_03084,3/2/2025,F011,BATCH_5459,TECH_05,Cloudy,WP_1315,Morning,5.968,5.9686,105.16,4.6555,30.48,0.174,4,0.068,57.09,B
LAT_03085,10/12/2025,F019,BATCH_2325,TECH_05,Windy,WP_4424,Morning,5.308,5.3098,131.35,4.8779,29.81,0.144,5,0.096,55.96,C
LAT_03086,10/11/2023,F025,BATCH_9786,TECH_02,Cloudy,WP_1907,Morning,5.694,5.695,126.82,4.8428,32.08,0.153,5,0.082,55.17,C
LAT_03087,7/12/2025,F026,BATCH_8609,TECH_05,Sunny,WP_4181,Morning,5.562,5.5628,138.07,4.9278,31.8,0.154,5,0.091,58.07,C
LAT_03088,3/8/2023,F018,BATCH_4732,TECH_04,Windy,WP_1454,Morning,6.553,6.5532,62.74,4.139,31.5,0.221,3,0.039,58.49,A
LAT_03089,5/13/2022,F024,BATCH_8592,TECH_01,Windy,WP_5774,Morning,5.707,5.704,111.66,4.7155,31.48,0.155,4,0.074,57.02,B
LAT_03090,6/15/2023,F011,BATCH_8698,TECH_05,Sunny,WP_4175,Morning,5.637,5.6384,117.79,4.7689,28.81,0.157,5,0.082,56.98,C
LAT_03091,12/29/2024,F027,BATCH_3360,TECH_03,Rainy,WP_9085,Morning,5.321,5.3235,148.56,5.001,30.62,0.136,5,0.095,55.7,C
LAT_03092,8/17/2022,F016,BATCH_4495,TECH_04,Cloudy,WP_7515,Morning,6.628,6.6251,54.79,4.0035,30.62,0.224,2,0.033,61.11,A
LAT_03093,7/25/2023,F021,BATCH_5668,TECH_06,Rainy,WP_3072,Morning,6.358,6.3543,81.52,4.4008,27.47,0.21,3,0.048,60.71,A
LAT_03094,2/10/2022,F014,BATCH_7217,TECH_06,Windy,WP_2120,Morning,6.474,6.4714,59.73,4.0898,29.64,0.216,3,0.039,60.22,A
LAT_03095,4/26/2025,F012,BATCH_7110,TECH_01,Rainy,WP_1359,Morning,6.017,6.0161,98.15,4.5865,31.06,0.181,4,0.065,59.26,B
LAT_03096,6/25/2025,F002,BATCH_7142,TECH_07,Rainy,WP_5387,Morning,6.423,6.4256,69.54,4.2419,30.79,0.224,3,0.043,59.24,A
LAT_03097,10/27/2023,F009,BATCH_1285,TECH_01,Cloudy,WP_6055,Morning,6.846,6.8489,44.68,3.7995,30.76,0.247,2,0.024,58.47,A
LAT_03098,9/30/2023,F003,BATCH_4818,TECH_03,Windy,WP_9377,Morning,5.868,5.8678,102.31,4.628,31.26,0.17,4,0.071,56.39,B
LAT_03099,12/28/2022,F021,BATCH_1945,TECH_04,Cloudy,WP_8044,Morning,6.04,6.0435,85.02,4.4429,31.92,0.201,3,0.057,59.4,B
LAT_03100,1/21/2022,F014,BATCH_5174,TECH_05,Sunny,WP_6905,Morning,6.89,6.8887,32.9,3.4935,27.93,0.259,2,0.023,59.16,A
LAT_03101,10/12/2022,F022,BATCH_9431,TECH_05,Rainy,WP_8883,Morning,5.707,5.7108,129.71,4.8653,30.89,0.154,4,0.084,56.25,C
LAT_03102,11/8/2024,F025,BATCH_9194,TECH_07,Sunny,WP_3550,Morning,6.838,6.8396,43.77,3.7789,28.74,0.261,3,0.025,59.82,A
LAT_03103,3/31/2025,F026,BATCH_3677,TECH_02,Windy,WP_6529,Morning,6.798,6.7971,45.91,3.8267,30.24,0.23,2,0.027,60.86,A
LAT_03104,2/24/2026,F025,BATCH_7424,TECH_03,Sunny,WP_8560,Morning,6.244,6.241,82.1,4.4079,30.71,0.201,3,0.051,58.75,B
LAT_03105,10/15/2022,F009,BATCH_8657,TECH_07,Sunny,WP_5839,Morning,6.689,6.6897,52.02,3.9516,30.01,0.233,2,0.032,60.43,A
LAT_03106,9/10/2024,F007,BATCH_7993,TECH_03,Cloudy,WP_2537,Morning,6.645,6.6429,52.44,3.9597,31.2,0.225,2,0.029,59.75,A
LAT_03107,10/28/2023,F002,BATCH_5724,TECH_06,Cloudy,WP_8739,Morning,5.384,5.3794,136.89,4.9192,30.47,0.115,5,0.094,56.64,C
LAT_03108,3/15/2023,F027,BATCH_7974,TECH_05,Sunny,WP_1570,Morning,6.764,6.7678,46.16,3.8321,31.34,0.245,2,0.026,60.06,A
LAT_03109,12/25/2024,F011,BATCH_8252,TECH_05,Cloudy,WP_9474,Morning,6.67,6.6689,57.92,4.0591,28.01,0.24,2,0.033,60.38,A
LAT_03110,9/27/2024,F003,BATCH_2742,TECH_05,Rainy,WP_8405,Morning,5.787,5.7842,110.88,4.7084,28.48,0.164,4,0.078,59.34,B
LAT_03111,2/16/2022,F024,BATCH_3561,TECH_05,Windy,WP_1987,Morning,5.706,5.7043,126.09,4.837,30.11,0.169,4,0.082,55.55,C
LAT_03112,7/29/2025,F016,BATCH_5943,TECH_07,Sunny,WP_5813,Afternoon,5.478,5.4782,131.08,4.8758,29.8,0.13,5,0.094,55.25,C
LAT_03113,12/1/2025,F023,BATCH_9405,TECH_04,Cloudy,WP_4035,Morning,6.43,6.4275,61.16,4.1135,29.65,0.209,3,0.041,61.33,A
LAT_03114,1/11/2022,F004,BATCH_6001,TECH_01,Windy,WP_3967,Morning,6.594,6.5924,980,6.8876,29.68,0.226,3,0.035,60.68,A
LAT_03115,2/24/2022,F009,BATCH_1919,TECH_06,Sunny,WP_5004,Morning,6.668,6.6683,50.33,3.9186,27.75,0.223,2,0.031,60.51,A
LAT_03116,11/3/2023,F026,BATCH_7702,TECH_07,Windy,WP_6608,Morning,6.522,6.5221,70.29,4.2526,29.91,0.215,3,0.04,58.24,A
LAT_03117,2/26/2023,F028,BATCH_5422,TECH_07,Sunny,WP_5007,Morning,6.586,6.5884,55.56,4.0175,29.14,0.231,3,0.035,60.27,A
LAT_03118,3/2/2023,F008,BATCH_2260,TECH_04,Windy,WP_7213,Morning,5.532,5.5331,137.35,4.9225,28.53,0.142,5,0.091,56.02,C
LAT_03119,12/25/2025,F028,BATCH_2016,TECH_07,Rainy,WP_2509,Morning,5.764,5.7645,105.85,4.662,31.74,0.176,4,0.074,57.88,B
LAT_03120,4/29/2022,F010,BATCH_9688,TECH_03,Cloudy,WP_9339,Morning,6.533,6.5343,71.36,4.2677,30.85,0.223,4,0.04,61.42,A
LAT_03121,5/25/2023,F010,BATCH_2408,TECH_06,Cloudy,WP_5690,Morning,6.011,6.0126,95.84,4.5627,31.01,0.191,4,0.062,59.05,B
LAT_03122,10/7/2023,F024,BATCH_2791,TECH_01,Windy,WP_1136,Morning,5.391,5.3884,139.5,4.9381,29.79,0.147,5,0.098,56.14,C
LAT_03123,10/1/2023,F020,BATCH_9837,TECH_01,Windy,WP_6397,Afternoon,5.395,5.3962,136.52,4.9165,32.49,0.149,5,0.095,58.05,C
LAT_03124,10/23/2025,F018,BATCH_4350,TECH_05,Cloudy,WP_4395,Morning,6.768,6.7722,44.62,3.7982,29,0.246,3,0.028,60.72,A
LAT_03125,6/13/2025,F018,BATCH_1183,TECH_01,Cloudy,WP_6950,Morning,5.38,5.3806,147.31,4.9925,31.39,0.132,4,0.095,55.02,C
LAT_03126,6/16/2022,F020,BATCH_7515,TECH_04,Rainy,WP_1475,Morning,6.679,6.6777,60.39,4.1008,29.7,0.218,3,0.038,58.66,A
LAT_03127,9/21/2024,F022,BATCH_8140,TECH_06,Sunny,WP_4751,Morning,6.619,6.6178,49.4,3.9,27.41,0.232,2,0.034,58.2,A
LAT_03128,12/7/2023,F015,BATCH_9728,TECH_07,Sunny,WP_8319,Morning,6.427,6.4315,80.29,4.3856,29.71,0.213,3,0.046,61.45,A
LAT_03129,12/16/2022,F024,BATCH_6681,TECH_04,Rainy,WP_5751,Morning,5.938,5.9353,107.66,4.679,28.44,0.183,4,0.069,58.34,B
LAT_03130,9/11/2024,F012,BATCH_8824,TECH_05,Windy,WP_4496,Morning,5.754,5.7555,119.59,4.7841,29.04,0.133,4,0.079,56.33,B
LAT_03131,1/28/2023,F022,BATCH_4958,TECH_07,Cloudy,WP_2796,Afternoon,6.395,6.3936,71.5,4.2697,29,0.204,3,0.046,59.31,A
LAT_03132,1/31/2024,F022,BATCH_3770,TECH_03,Rainy,WP_9886,Morning,6.851,6.8523,44.09,3.7862,30.86,0.244,2,0.024,59.18,A
LAT_03133,8/7/2025,F012,BATCH_3157,TECH_04,Cloudy,WP_8349,Afternoon,5.403,5.4048,136.53,4.9165,30.5,0.133,5,0.093,56.76,C
LAT_03134,12/5/2023,F014,BATCH_8418,TECH_02,Cloudy,WP_8386,Morning,5.388,5.388,136.58,4.9169,29.52,0.132,5,0.095,56.89,C
LAT_03135,10/20/2025,F024,BATCH_8414,TECH_02,Sunny,WP_1856,Morning,5.607,5.6022,123.95,4.8199,29.82,0.149,5,0.084,57.54,C
LAT_03136,3/13/2022,F025,BATCH_2087,TECH_03,Cloudy,WP_1023,Morning,5.469,5.4708,131.43,4.8785,28.44,0.142,5,0.09,56.37,C
LAT_03137,6/14/2023,F029,BATCH_6884,TECH_01,Rainy,WP_1434,Morning,5.616,5.62,124,4.8203,32.57,0.142,5,0.084,56.14,C
LAT_03138,6/6/2025,F010,BATCH_3854,TECH_06,Windy,WP_8371,Morning,6.848,6.8471,47.56,3.862,29.46,0.22,2,0.027,59.09,A
LAT_03139,11/16/2025,F030,BATCH_6529,TECH_05,Sunny,WP_9052,Morning,6.526,6.5265,53.91,3.9873,28.82,0.223,2,0.035,60.44,A
LAT_03140,4/17/2024,F011,BATCH_3925,TECH_06,Windy,WP_1293,Morning,6.404,6.4054,67.94,4.2186,27.49,0.217,3,0.044,58.11,A
LAT_03141,5/24/2023,F012,BATCH_6314,TECH_01,Cloudy,WP_3959,Morning,5.826,5.829,110.37,4.7038,32.01,0.159,4,0.075,57.39,B
LAT_03142,10/16/2025,F020,BATCH_3047,TECH_06,Cloudy,WP_5122,Afternoon,5.842,5.8431,107.37,4.6763,31.05,0.174,4,0.071,57.09,B
LAT_03143,3/16/2024,F024,BATCH_8426,TECH_06,Windy,WP_2153,Morning,6.044,6.0427,96.57,4.5703,29.45,0.181,4,0.064,58.2,B
LAT_03144,1/24/2023,F023,BATCH_1385,TECH_04,Windy,WP_5753,Morning,6.274,6.273,73.92,4.303,30.39,0.206,4,0.048,59.97,A
LAT_03145,3/23/2025,F016,BATCH_4069,TECH_02,Sunny,WP_5236,Morning,6.059,6.0587,92.48,4.527,29.94,0.181,4,0.06,56.57,B
LAT_03146,1/20/2026,F009,BATCH_3773,TECH_03,Cloudy,WP_3840,Morning,6.016,6.0169,85.8,4.452,29.13,0.188,4,0.058,59.84,B
LAT_03147,7/1/2024,F026,BATCH_4760,TECH_07,Windy,WP_8237,Morning,6.578,6.5749,61.28,4.1155,30.89,0.209,3,0.038,60.29,A
LAT_03148,1/22/2023,F025,BATCH_4657,TECH_05,Cloudy,WP_5711,Morning,6.226,6.2274,86.12,4.4557,27.96,0.206,3,0.052,59.56,B
LAT_03149,1/12/2026,F013,BATCH_8737,TECH_05,Cloudy,WP_2652,Morning,5.606,5.6046,126.88,4.8432,30.54,0.151,5,0.087,58.2,C
LAT_03150,3/30/2024,F028,BATCH_3451,TECH_03,Windy,WP_7153,Morning,5.687,5.6821,128.46,4.8556,31.27,0.167,5,0.082,55.99,C
LAT_03151,5/25/2023,F008,BATCH_9153,TECH_02,Sunny,WP_4622,Morning,5.761,5.7591,107.31,4.6757,28.68,0.167,4,0.074,57.72,B
LAT_03152,1/22/2025,F030,BATCH_9849,TECH_07,Sunny,WP_8136,Morning,6.075,6.074,88.11,4.4786,32.27,0.176,4,0.059,59.8,B
LAT_03153,1/8/2026,F018,BATCH_2897,TECH_03,Windy,WP_7624,Morning,5.396,5.3963,145.83,4.9824,28.5,0.148,5,0.096,55.33,C
LAT_03154,5/1/2024,F025,BATCH_7720,TECH_07,Windy,WP_3442,Morning,6.793,6.7904,46.05,3.8297,31.57,0.257,2,0.027,59.27,A
LAT_03155,9/2/2023,F027,BATCH_6417,TECH_03,Windy,WP_8255,Morning,6.436,6.4334,58.57,4.0702,30.86,0.201,3,0.041,58.77,A
LAT_03156,6/18/2023,F010,BATCH_2203,TECH_03,Sunny,WP_7353,Morning,6.461,6.4605,69.46,4.2408,30.95,0.212,3,0.043,58,A
LAT_03157,11/22/2024,F011,BATCH_6103,TECH_05,Sunny,WP_1811,Morning,5.474,5.4745,134.22,4.8995,30.64,0.134,5,0.089,58.13,C
LAT_03158,4/4/2024,F007,BATCH_4986,TECH_07,Sunny,WP_6725,Morning,5.72,5.7218,129.2,4.8614,31.51,0.141,5,0.081,56.64,C
LAT_03159,12/28/2022,F009,BATCH_6092,TECH_04,Sunny,WP_6779,Morning,6.461,6.459,63.43,4.1499,27.37,0.209,3,0.043,59.9,A
LAT_03160,5/28/2024,F007,BATCH_5573,TECH_07,Rainy,WP_5013,Morning,6.096,6.0962,89.94,4.4991,27.52,0.184,3,0.058,58.51,B
LAT_03161,12/12/2022,F004,BATCH_8776,TECH_02,Rainy,WP_2835,Morning,6.737,6.7348,48.43,3.8801,28.62,0.225,2,0.03,61.27,A
LAT_03162,11/5/2022,F012,BATCH_2298,TECH_07,Windy,WP_2450,Morning,6.249,6.2503,82.26,4.4099,29.14,0.192,3,0.053,58.8,B
LAT_03163,3/20/2026,F025,BATCH_6780,TECH_01,Rainy,WP_6302,Morning,6.7,6.6979,54.17,3.9921,28.1,0.229,2,0.034,60.75,A
LAT_03164,8/18/2022,F008,BATCH_7965,TECH_01,Cloudy,WP_3058,Morning,6.388,6.3907,70.23,4.2518,29.1,0.213,3,0.046,59.05,A
LAT_03165,3/14/2022,F011,BATCH_5397,TECH_02,Sunny,WP_8714,Morning,6.436,6.4346,66.9,4.2032,29.16,0.214,3,0.043,58.07,A
LAT_03166,7/23/2025,F018,BATCH_5691,TECH_06,Windy,WP_2534,Morning,5.436,5.4345,129.95,4.8671,30.28,0.156,5,0.091,58.05,C
LAT_03167,2/8/2026,F017,BATCH_8674,TECH_03,Rainy,WP_7811,Morning,6.018,6.0182,94.75,4.5512,31.92,0.176,4,0.063,56.93,B
LAT_03168,4/10/2022,F015,BATCH_5251,TECH_05,Cloudy,WP_9317,Afternoon,6.421,6.4234,76.48,4.337,30.7,0.21,3,0.046,59.98,A
LAT_03169,1/7/2025,F015,BATCH_5422,TECH_03,Windy,WP_7584,Morning,6.735,6.7342,41.81,3.7331,30.31,0.247,2,0.026,58.25,A
LAT_03170,11/28/2022,F007,BATCH_8489,TECH_03,Rainy,WP_9024,Morning,6.225,6.2236,77.74,4.3534,29.65,0.201,3,0.051,56.23,B
LAT_03171,1/18/2025,F011,BATCH_9486,TECH_07,Rainy,WP_9982,Morning,5.669,5.665,126.56,4.8407,31.37,0.145,5,0.083,55.92,C
LAT_03172,5/11/2025, F027 ,BATCH_8888,TECH_02,Sunny,WP_7143,Morning,5.752,5.7544,126.54,4.8406,28.88,0.155,5,0.084,57.07,C
LAT_03173,2/19/2022,F030,BATCH_7130,TECH_02,Rainy,WP_2850,Morning,5.329,5.3313,148.46,5.0003,28.49,0.141,5,0.095,55.09,C
LAT_03174,4/17/2024,F011,BATCH_1921,TECH_07,Windy,WP_6081,Morning,5.951,5.9503,107.46,4.6771,28.64,0.191,5,0.069,59.41,B
LAT_03175,4/26/2022,F011,BATCH_2932,TECH_01,Windy,WP_7297,Morning,6.792,6.7955,51.47,3.941,27.79,0.237,3,0.03,59.37,A
LAT_03176,6/25/2025,F009,BATCH_6603,TECH_01,Windy,WP_8981,Morning,5.682,5.6852,118.57,4.7755,30.62,0.156,5,0.082,58.14,C
LAT_03177,4/17/2024,F027,BATCH_7706,TECH_05,Sunny,WP_1506,Morning,5.684,5.683,131.42,4.8784,30.27,0.146,5,0.085,55.87,C
LAT_03178,12/6/2023,F010,BATCH_5846,TECH_07,Cloudy,WP_2702,Morning,5.721,5.723,124.22,4.8221,27.73,0.155,5,0.082,58.7,C
LAT_03179,3/1/2024,F007,BATCH_9295,TECH_01,Sunny,WP_9811,Morning,6.381,6.3819,75.69,4.3266,30.65,0.225,3,0.048,60.16,A
LAT_03180,9/23/2022,F030,BATCH_9115,TECH_01,Sunny,WP_4727,Morning,5.364,5.3652,145.67,4.9813,27.8,0.149,4,0.095,58.18,C
LAT_03181,11/13/2022,F025,BATCH_3659,TECH_05,Sunny,WP_3227,Morning,5.289,5.2884,145.53,4.9804,29.56,0.147,5,0.097,58.39,C
LAT_03182,1/5/2022,F027,BATCH_1388,TECH_06,Cloudy,WP_1773,Morning,5.906,5.9075,108.35,4.6854,29.39,0.181,4,0.07,58.53,B
LAT_03183,2/9/2022,F025,BATCH_3646,TECH_04,Cloudy,WP_1632,Morning,5.807,5.8088,115.16,4.7463,28.08,0.151,4,0.077,58.46,B
LAT_03184,12/24/2022,F015,BATCH_7685,TECH_04,Sunny,WP_3102,Morning,6.405,6.403,62.93,4.142,28.77,0.242,2,0.039,59.82,A
LAT_03185,10/17/2025,F020,BATCH_7957,TECH_01,Sunny,WP_2860,Morning,5.968,5.9713,94.9,4.5528,30.88,0.198,4,0.061,60.18,B
LAT_03186,5/26/2025,F004,BATCH_7772,TECH_01,Sunny,WP_8627,Morning,5.895,5.8949,104.48,4.649,30.96,0.184,4,0.073,59.03,B
LAT_03187,7/5/2025,F004,BATCH_1323,TECH_06,Windy,WP_1614,Morning,5.972,5.9727,101,4.6151,30.11,0.181,4,0.066,58.82,B
LAT_03188,5/5/2023,F022,BATCH_3280,TECH_03,Sunny,WP_6953,Morning,6.537,6.5396,53.01,3.9705,29.62,0.228,2,0.031,60.15,A
LAT_03189,12/4/2024,F026,BATCH_8911,TECH_01,Rainy,WP_7817,Morning,5.647,5.6466,126.84,4.8429,32.01,0.152,5,0.086,57.77,C
LAT_03190,4/9/2023,F014,BATCH_2094,TECH_06,Cloudy,WP_6142,Morning,6.267,6.2659,63.48,4.1507,30.43,0.207,3,0.047,59.95,A
LAT_03191,7/12/2024,F022,BATCH_7956,TECH_03,Cloudy,WP_1724,Morning,6.675,6.6739,53.25,3.975,28.92,0.235,2,0.03,60.02,A
LAT_03192,9/10/2024,F028,BATCH_2777,TECH_02,Cloudy,WP_4780,Morning,6.56,6.5609,68.9,4.2327,29.02,0.213,2,0.04,60.13,A
LAT_03193,6/1/2024,F012,BATCH_5290,TECH_05,Rainy,WP_6613,Morning,12.1,12.1024,69.68,4.2439,31.3,0.222,2,0.039,59.92,A
LAT_03194,3/24/2023,F030,BATCH_1889,TECH_02,Cloudy,WP_9584,Morning,6.012,6.0117,91.71,4.5186,30.87,0.187,4,0.061,57.65,B
LAT_03195,11/1/2024,F027,BATCH_1719,TECH_03,Rainy,WP_5603,Morning,6.312,6.3125,76.2,4.3334,32.35,0.208,3,0.049,61.53,A
LAT_03196,3/29/2025,F007,BATCH_5806,TECH_05,Windy,WP_4980,Morning,6.177,6.1752,93.28,4.5356,27.67,0.199,4,0.059,57.24,B
LAT_03197,6/28/2023,F002,BATCH_8264,TECH_07,Rainy,WP_4037,Afternoon,5.508,5.5083,126.78,4.8425,29.32,0.148,5,0.084,57.48,C
LAT_03198,1/6/2023,F007,BATCH_1095,TECH_04,Windy,WP_1987,Morning,6.073,6.0706,95.46,4.5587,31.85,0.162,3,0.063,57.63,B
LAT_03199,1/12/2026,F002,BATCH_5703,TECH_02,Windy,WP_5016,Afternoon,5.42,5.421,,,28.78,0.138,5,0.096,55.84,C
LAT_03200,6/23/2023,F018,BATCH_5518,TECH_03,Sunny,WP_6240,Morning,5.574,5.5722,134.51,4.9016,32.59,0.136,5,0.09,56.97,C
LAT_03201,2/15/2023,F014,BATCH_3743,TECH_01,Sunny,WP_5328,Morning,5.488,5.4917,129.21,4.8614,30.71,0.139,5,0.085,57.22,C
LAT_03202,3/18/2022,F002,BATCH_1204,TECH_04,Rainy,WP_8772,Morning,6.407,6.4067,68.24,4.223,29.55,0.216,3,0.045,60.7,A
LAT_03203,4/14/2023,F001,BATCH_9099,TECH_06,Windy,WP_4926,Morning,6.744,6.7429,41.7,3.7305,30.5,0.228,2,0.026,59.41,A
LAT_03204,4/11/2022,F006,BATCH_4595,TECH_04,Windy,WP_7331,Morning,5.763,5.7608,117.98,4.7705,29.87,0.167,4,0.08,58.86,C
LAT_03205,1/4/2025,F026,BATCH_3369,TECH_03,Windy,WP_5912,Morning,6.16,6.1602,89.11,4.4899,31.47,0.2,4,0.055,58.97,B
LAT_03206,6/30/2024,F007,BATCH_4661,TECH_06,Cloudy,WP_3191,Morning,6.559,6.5586,55.94,4.0243,28.41,0.205,3,0.033,59.1,A
LAT_03207,10/14/2025,F012,BATCH_8557,TECH_04,Rainy,WP_7522,Morning,5.727,5.7314,115.85,4.7523,28.75,0.147,5,0.081,55.56,C
